revision;newArtefactsReferencingEditedOnes
/home/taes/taes//projects/curator/revisions/rev_579fca5_6ca1e1a/rev_579fca5-6ca1e1a.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_7d96f67_913c3e4/rev_7d96f67-913c3e4.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_46a6bb7_51728a3/rev_46a6bb7-51728a3.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_00a2db8_ab2cf4a/rev_00a2db8-ab2cf4a.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_c6d377e_010bf7b/rev_c6d377e-010bf7b.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_9fc1590_1fa2d2a/rev_9fc1590-1fa2d2a.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_be57633_0b50097/rev_be57633-0b50097.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_6ee3d46_e0b112c/rev_6ee3d46-e0b112c.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_7dc6a24_ebe17d9/rev_7dc6a24-ebe17d9.revisions;0
/home/taes/taes//projects/curator/revisions/rev_c9684d6_7c5b459/rev_c9684d6-7c5b459.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_c4a7830_ad43c78/rev_c4a7830-ad43c78.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_79d57c7_a6d8907/rev_79d57c7-a6d8907.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_f093fc0_26d74c3/rev_f093fc0-26d74c3.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_7bc392f_85cb1bf/rev_7bc392f-85cb1bf.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_3f9d374_b0eba07/rev_3f9d374-b0eba07.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_4aac2ce_c614852/rev_4aac2ce-c614852.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_0eb1c98_8ede1c3/rev_0eb1c98-8ede1c3.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_f4716f9_6d1b4b4/rev_f4716f9-6d1b4b4.revisions;0
/home/taes/taes//projects/curator/revisions/rev_453b0d0_1096c6c/rev_453b0d0-1096c6c.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_b65b6e3_25e0fe5/rev_b65b6e3-25e0fe5.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_a6d8907_0625e16/rev_a6d8907-0625e16.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_352bdcb_949c73e/rev_352bdcb-949c73e.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_7bc392f_f4e2155/rev_7bc392f-f4e2155.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_1fa2d2a_3f9d374/rev_1fa2d2a-3f9d374.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_a508194_5012bff/rev_a508194-5012bff.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_17c4c1b_14e3892/rev_17c4c1b-14e3892.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_59c7144_722f2a9/rev_59c7144-722f2a9.revisions;0
/home/taes/taes//projects/curator/revisions/rev_c899523_1e0b1b8/rev_c899523-1e0b1b8.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_92b1832_8a322f1/rev_92b1832-8a322f1.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_0625e16_ba61426/rev_0625e16-ba61426.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_9e61b68_84b9b60/rev_9e61b68-84b9b60.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_16d2cdd_1fa5254/rev_16d2cdd-1fa5254.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_98775eb_b0eba07/rev_98775eb-b0eba07.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_198b836_8d29748/rev_198b836-8d29748.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_2859dbd_bea25af/rev_2859dbd-bea25af.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_7f93fdc_1b82c49/rev_7f93fdc-1b82c49.revisions;0
/home/taes/taes//projects/curator/revisions/rev_1be1a17_f39b681/rev_1be1a17-f39b681.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_d5551cd_45852b3/rev_d5551cd-45852b3.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_9a41b7f_9b75868/rev_9a41b7f-9b75868.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_289f3bc_325ece2/rev_289f3bc-325ece2.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_f86ba5d_64dca15/rev_f86ba5d-64dca15.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_6a35f3b_c6c41c3/rev_6a35f3b-c6c41c3.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_69dbfb7_ad4481d/rev_69dbfb7-ad4481d.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_a903105_df3c332/rev_a903105-df3c332.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_57cf481_1c94e2a/rev_57cf481-1c94e2a.revisions;0
/home/taes/taes//projects/curator/revisions/rev_f39b681_1185185/rev_f39b681-1185185.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_8638526_808c1bf/rev_8638526-808c1bf.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_9b75868_2ec3c61/rev_9b75868-2ec3c61.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_3d90eb7_0ffc027/rev_3d90eb7-0ffc027.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_18c4525_409d609/rev_18c4525-409d609.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_28aabd4_54d7ac5/rev_28aabd4-54d7ac5.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_612de34_aebd1f1/rev_612de34-aebd1f1.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_a08a267_5a88927/rev_a08a267-5a88927.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_9a167f2_1e0b60b/rev_9a167f2-1e0b60b.revisions;0
/home/taes/taes//projects/curator/revisions/rev_363b4e5_511af91/rev_363b4e5-511af91.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_eec81dd_4e648f9/rev_eec81dd-4e648f9.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_b8fc07f_f6b3219/rev_b8fc07f-f6b3219.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_87fda27_44654cc/rev_87fda27-44654cc.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_769527a_f68d4ae/rev_769527a-f68d4ae.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_b5c5655_002fa03/rev_b5c5655-002fa03.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_0345304_da10a5e/rev_0345304-da10a5e.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_25ee803_cf7ed9d/rev_25ee803-cf7ed9d.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_f41cb5f_66cc4c4/rev_f41cb5f-66cc4c4.revisions;0
/home/taes/taes//projects/curator/revisions/rev_5637838_29ac6d5/rev_5637838-29ac6d5.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_445e0a3_69ab322/rev_445e0a3-69ab322.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_8eb7ca0_883899d/rev_8eb7ca0-883899d.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_826721c_bcab3a2/rev_826721c-bcab3a2.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_0757060_266cd94/rev_0757060-266cd94.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_d820793_c81ed63/rev_d820793-c81ed63.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_89851b6_a31e402/rev_89851b6-a31e402.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_b0a175d_12601f4/rev_b0a175d-12601f4.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_66cc4c4_a6d7eae/rev_66cc4c4-a6d7eae.revisions;0
